# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.740     -0.023     -0.437     -0.007     0.011     -2.508     -2.344
  0.750      6.689     -0.024     -0.252     -0.016    -0.012      0.341     -0.294
  1.500      6.190     -0.026     -0.227     -0.013    -0.011      0.559     -0.163
  2.250      5.347     -0.049     -0.219     -0.005    -0.008      0.653      0.244
  3.000      4.938     -0.052     -0.272     -0.005    -0.003     -0.033      0.850
  3.750      5.683      0.062     -0.292     -0.004    -0.008     -1.825      1.423
  4.500      7.928      0.288     -0.318      0.007    -0.014     -4.578      3.426
  5.250     13.638      0.411     -0.374     -0.011    -0.030     -6.767      0.877
  6.000     19.710      0.494     -0.404     -0.025    -0.041     -6.520     -1.175
  6.750     24.293      0.494     -0.371     -0.035    -0.049     -5.612      0.159
  7.500     29.016      0.430     -0.201     -0.038    -0.072     -5.478     -0.503
