# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.890     -0.030     -0.456     -0.005     0.013     -2.196     -2.021
  0.500      7.885     -0.034     -0.252     -0.014    -0.010      0.678      0.322
  1.000      7.711     -0.028     -0.241     -0.014    -0.012      0.408     -0.329
  1.500      7.348     -0.027     -0.223     -0.013    -0.010      0.569     -0.250
  2.000      6.825     -0.039     -0.203     -0.009    -0.008      0.737     -0.067
  2.500      6.192     -0.057     -0.226     -0.003    -0.006      0.469      0.533
  3.000      6.062     -0.053     -0.268     -0.005    -0.002     -0.064      0.814
  3.500      6.576     -0.009     -0.276     -0.008    -0.005     -1.032      0.735
  4.000      7.390      0.136     -0.328      0.000    -0.007     -2.941      2.015
  4.500      9.378      0.283     -0.367      0.006    -0.011     -5.160      3.160
  5.000     12.929      0.405     -0.406      0.002    -0.024     -6.661      1.934
  5.500     17.204      0.461     -0.425     -0.007    -0.027     -7.402     -0.042
  6.000     21.287      0.523     -0.440     -0.014    -0.033     -6.901     -1.215
  6.500     24.510      0.533     -0.432     -0.018    -0.035     -6.162     -0.416
  7.000     27.622      0.491     -0.315     -0.018    -0.049     -5.775      0.133
  7.500     30.857      0.462     -0.238     -0.019    -0.056     -5.899     -0.577
  8.000     33.589      0.427     -0.219     -0.018    -0.057     -4.115     -2.081
