# DCB sat:
G 1      -9.091
G 3      13.709
G 4       0.689
G 6      17.376
G 7     -14.932
G 8      15.434
G 9      14.531
G11      -8.015
G14      -5.612
G15     -14.620
G17     -17.530
G21     -12.777
G23      -7.743
G25      10.041
G26      18.218
G27      13.857
G28     -10.978
G30       9.761
G31     -17.603
G32       5.283
R 2       7.093
R 3      -9.971
R 4     -10.857
R 5       2.694
R 6       8.690
R 7      -9.474
R 8     -16.941
R 9      -3.047
R11      -1.296
R12       9.435
R14      13.271
R15       7.291
R16       6.937
R17       0.508
R18      15.918
R19     -15.203
R20      -7.373
R21      -3.140
R22      -0.311
R24       5.778
# DCB rec:
G     -61.618
R     -30.081
