# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.208     -0.028     -0.385     -0.006     0.009     -1.961     -1.884
  0.250      6.385     -0.041     -0.221     -0.014    -0.009      1.392      0.700
  0.500      6.095     -0.032     -0.192     -0.014    -0.013      0.772      0.404
  0.750      5.963     -0.028     -0.190     -0.014    -0.013      0.457      0.012
  1.000      5.885     -0.025     -0.187     -0.014    -0.014      0.438     -0.201
  1.250      5.712     -0.022     -0.175     -0.014    -0.013      0.446     -0.130
  1.500      5.543     -0.021     -0.172     -0.013    -0.012      0.510     -0.182
  1.750      5.328     -0.023     -0.163     -0.012    -0.010      0.543     -0.236
  2.000      5.077     -0.028     -0.157     -0.010    -0.010      0.642     -0.093
  2.250      4.748     -0.042     -0.162     -0.007    -0.008      0.601      0.265
  2.500      4.491     -0.042     -0.177     -0.005    -0.007      0.422      0.482
  2.750      4.364     -0.047     -0.189     -0.005    -0.007      0.191      0.671
  3.000      4.389     -0.040     -0.214     -0.006    -0.005     -0.031      0.687
  3.250      4.616     -0.028     -0.222     -0.009    -0.006     -0.410      0.466
  3.500      4.890     -0.003     -0.221     -0.010    -0.008     -0.850      0.556
  3.750      5.096      0.062     -0.243     -0.006    -0.010     -1.624      1.311
  4.000      5.692      0.113     -0.263     -0.005    -0.012     -2.474      1.747
  4.250      6.538      0.170     -0.279     -0.004    -0.016     -3.465      2.222
  4.500      7.544      0.224     -0.292     -0.004    -0.019     -4.458      2.998
  4.750      9.221      0.294     -0.300     -0.005    -0.031     -4.831      2.351
  5.000     10.956      0.322     -0.314     -0.010    -0.036     -5.819      1.786
  5.250     12.962      0.361     -0.310     -0.017    -0.039     -6.327      0.868
  5.500     14.940      0.374     -0.319     -0.021    -0.043     -6.558      0.105
  5.750     17.079      0.412     -0.322     -0.033    -0.044     -6.297     -0.825
  6.000     18.947      0.434     -0.341     -0.037    -0.051     -6.046     -1.192
  6.250     20.430      0.440     -0.346     -0.039    -0.054     -5.564     -0.583
  6.500     22.028      0.434     -0.339     -0.048    -0.057     -5.318     -0.241
  6.750     23.555      0.406     -0.284     -0.050    -0.066     -5.144      0.024
  7.000     25.078      0.386     -0.227     -0.053    -0.074     -5.144      0.091
  7.250     26.561      0.377     -0.201     -0.055    -0.078     -5.182     -0.025
  7.500     28.129      0.352     -0.163     -0.056    -0.083     -5.229     -0.602
  7.750     29.537      0.337     -0.158     -0.058    -0.084     -4.667     -1.139
  8.000     30.666      0.319     -0.155     -0.057    -0.085     -3.811     -1.538
  8.250     31.536      0.270     -0.170     -0.053    -0.090     -1.938     -2.971
  8.500     32.457      0.288     -0.149     -0.065    -0.090     -2.099     -1.610
