# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.547     -0.024     -0.490     -0.007     0.014     -2.736     -2.497
  0.750      8.595     -0.023     -0.304     -0.016    -0.010      0.250     -0.403
  1.500      8.102     -0.030     -0.276     -0.012    -0.010      0.604     -0.241
  2.250      7.193     -0.062     -0.266     -0.004    -0.006      0.722      0.275
  3.000      6.733     -0.065     -0.325     -0.004    -0.001     -0.051      0.951
  3.750      7.441      0.070     -0.350     -0.001    -0.005     -2.097      1.670
  4.500      9.773      0.353     -0.388      0.019    -0.006     -5.149      3.669
  5.250     15.766      0.486     -0.469      0.004    -0.015     -7.571      0.817
  6.000     21.995      0.573     -0.491     -0.002    -0.019     -7.256     -1.154
  6.750     26.723      0.593     -0.458     -0.001    -0.022     -6.196      0.100
  7.500     31.642      0.538     -0.277      0.000    -0.043     -6.038     -0.515
