# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      8.451     -0.027     -0.489     -0.004     0.015     -2.306     -2.110
  0.750      9.385     -0.027     -0.278     -0.014    -0.010      0.348     -0.146
  1.500      8.963     -0.026     -0.253     -0.012    -0.009      0.613     -0.297
  2.250      8.030     -0.060     -0.238     -0.005    -0.006      0.744      0.335
  3.000      7.567     -0.058     -0.303     -0.004    -0.001     -0.063      0.886
  3.750      8.211      0.082     -0.343      0.001    -0.002     -2.130      1.771
  4.500     10.914      0.324     -0.419      0.012    -0.006     -5.561      3.256
  5.250     16.759      0.498     -0.483      0.005    -0.014     -7.727      0.826
  6.000     23.084      0.578     -0.507      0.002    -0.018     -7.406     -1.214
  6.750     27.941      0.580     -0.445      0.005    -0.023     -6.280     -0.049
  7.500     32.874      0.539     -0.299      0.007    -0.037     -6.308     -0.557
