# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.559     -0.040     -0.496     -0.006     0.014     -2.743     -2.504
  0.500      8.693     -0.037     -0.335     -0.014    -0.006      0.873      0.555
  1.000      8.538     -0.038     -0.299     -0.014    -0.013      0.384     -0.442
  1.500      8.130     -0.038     -0.279     -0.012    -0.010      0.606     -0.223
  2.000      7.594     -0.053     -0.259     -0.008    -0.008      0.780     -0.042
  2.500      6.969     -0.073     -0.283     -0.002    -0.005      0.520      0.464
  3.000      6.775     -0.069     -0.326     -0.004    -0.001     -0.061      0.952
  3.500      7.261     -0.015     -0.323     -0.008    -0.003     -1.118      0.984
  4.000      8.116      0.143     -0.381      0.004    -0.006     -3.178      2.051
  4.500      9.859      0.348     -0.390      0.018    -0.007     -5.179      3.676
  5.000     13.723      0.447     -0.458      0.008    -0.015     -7.051      1.847
  5.500     18.092      0.510     -0.485     -0.001    -0.016     -7.751     -0.166
  6.000     22.121      0.568     -0.491     -0.002    -0.020     -7.265     -1.154
  6.500     25.386      0.596     -0.485     -0.001    -0.022     -6.458     -0.515
  7.000     28.492      0.557     -0.363      0.001    -0.035     -5.994      0.186
  7.500     31.797      0.536     -0.280     -0.001    -0.043     -6.093     -0.499
  8.000     34.624      0.503     -0.255      0.001    -0.043     -4.483     -1.984
