# DCB sat:
G 1     -12.189
G 3      10.259
G 4      -2.792
G 6      14.747
G 7     -18.434
G 8      13.584
G 9      11.659
G11     -10.152
G14      -8.622
G15     -10.217
G17     -22.308
G21     -14.847
G23       8.623
G25      15.678
G26      12.620
G27     -13.607
G28       6.555
G30     -20.697
G31       3.530
G32      36.609
R 2     -12.140
R 3     -13.105
R 4       0.465
R 5       6.591
R 6     -10.164
R 7     -10.759
R 8      -3.734
R 9      -2.123
R11       8.397
R12      11.422
R14       5.308
R15       4.980
R16       0.718
R17      12.942
R18     -17.150
R19      -8.779
R20      -4.207
R21      -1.062
R22       8.382
R24      24.019
# DCB rec:
G     -54.388
R     -24.019
