# DCB sat:
G 1     -11.627
G 3      10.650
G 4      -2.483
G 6      14.924
G 7     -17.771
G 8      13.441
G 9      12.145
G11     -10.011
G14      -8.034
G15     -12.340
G17     -22.664
G21     -15.256
G23       8.504
G25      15.787
G26      11.952
G27     -13.541
G28       7.215
G30     -20.506
G31       3.173
G32      36.444
R 2     -11.861
R 3     -12.771
R 4       0.860
R 5       6.916
R 6     -10.227
R 7     -13.037
R 8      -3.622
R 9      -1.980
R11       8.334
R12      11.607
R14       5.671
R15       5.783
R16      -0.195
R17      13.493
R18     -16.785
R19      -8.638
R20      -4.070
R21      -0.304
R22       6.981
R24      23.845
# DCB rec:
G     -54.152
R     -23.845
