# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      7.796     -0.027     -0.476     -0.004     0.014     -2.275     -2.096
  0.750      8.711     -0.028     -0.265     -0.014    -0.010      0.373     -0.120
  1.500      8.286     -0.025     -0.241     -0.012    -0.009      0.601     -0.274
  2.250      7.376     -0.057     -0.226     -0.006    -0.006      0.721      0.325
  3.000      6.931     -0.055     -0.289     -0.004    -0.001     -0.062      0.857
  3.750      7.587      0.079     -0.327      0.000    -0.004     -2.058      1.703
  4.500     10.255      0.308     -0.398      0.010    -0.008     -5.399      3.216
  5.250     16.036      0.476     -0.455      0.001    -0.018     -7.516      0.835
  6.000     22.312      0.556     -0.481     -0.004    -0.024     -7.208     -1.210
  6.750     27.136      0.552     -0.419     -0.004    -0.031     -6.117     -0.039
  7.500     32.019      0.508     -0.277     -0.004    -0.044     -6.144     -0.574
