# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      6.772     -0.021     -0.527     -0.016     0.013     -4.375     -3.452
  0.750      8.433     -0.028     -0.382     -0.022    -0.012     -0.001     -0.685
  1.500      7.918     -0.057     -0.344     -0.013    -0.012      0.613     -0.300
  2.250      6.973     -0.085     -0.343     -0.003    -0.007      0.731      0.286
  3.000      6.621     -0.091     -0.396     -0.006    -0.004     -0.090      0.911
  3.750      7.519      0.016     -0.393     -0.008    -0.007     -2.042      1.394
  4.500      9.690      0.323     -0.411      0.023    -0.003     -5.551      3.215
  5.250     15.721      0.477     -0.488      0.006    -0.011     -7.677      0.675
  6.000     21.965      0.583     -0.510     -0.004    -0.014     -7.275     -1.115
  6.750     26.621      0.600     -0.463      0.003    -0.018     -6.175      0.024
  7.500     31.495      0.559     -0.302      0.001    -0.036     -6.050     -0.372
